mean_reversion_level,action_threshold,threshold_re,threshold_de,enabled,E[Wealth],Std,Sharpe,Trades,Broke%,Min,Median,Max
50.0,1.0,0.6,0.0,True,822.0079559705493,472.71237193939544,1.527372666402552,553.78,5.0,-422.3282513487711,811.2008930867898,2107.86328308293
50.0,1.0,0.6,0.2,True,822.0079559705493,472.71237193939544,1.527372666402552,553.78,5.0,-422.3282513487711,811.2008930867898,2107.86328308293
50.0,1.0,0.6,0.4,True,850.9669155041743,474.68886487777223,1.5820192363213343,548.89,5.0,-393.7814527394048,825.8083236860223,2111.3163023511315
50.0,1.0,0.6,0.6,True,887.9723205486338,454.23368808714315,1.7347289318564678,511.95,5.0,-310.85336482832463,894.6450475283773,2035.2235351310728
50.0,1.0,0.6,0.8,True,861.8381562626669,407.28433140454786,1.8705314629595888,440.21,3.0,-240.08562409809292,845.530228292617,1983.4766270160071
50.0,1.0,0.6,1.0,True,753.3750610181706,341.57743425122584,1.91281681838977,347.83,3.0,-253.86640741344672,720.8431256276051,1741.5282938892315
50.0,1.0,0.6,1.2,True,590.954138748972,264.3424678238297,1.857265473802594,247.06,3.0,-97.01427539951237,552.2474041705145,1280.6930833392953
50.0,1.0,0.6,1.4,True,407.45697772425933,181.16946139001217,1.6970684538404737,147.12,1.0,-2.480204162953669,394.2502637578176,931.8681717631098
50.0,1.0,0.6,1.6,True,243.71133945775367,109.09084452507696,1.317354724710362,64.07,0.0,35.749716738093866,225.06964798381642,632.9186109023153
50.0,1.0,0.6,1.8,True,128.8793599758931,40.93984671509967,0.7054095775410327,11.71,0.0,77.84708179368306,117.73833675324875,315.49418368418367
50.0,1.0,0.6,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,0.9,0.0,True,320.6872796146286,195.7822344398626,1.127207891185939,149.2,7.000000000000001,-161.87011025511083,326.30779524574604,846.2209219521865
50.0,1.0,0.9,0.2,True,320.6872796146286,195.7822344398626,1.127207891185939,149.2,7.000000000000001,-161.87011025511083,326.30779524574604,846.2209219521865
50.0,1.0,0.9,0.4,True,324.8801934825722,193.21967734653512,1.1638576182862301,147.22,6.0,-161.30585693286366,329.0624369721075,848.9811899201022
50.0,1.0,0.9,0.6,True,328.32790754480936,181.28533847312937,1.2594946147763229,136.75,4.0,-144.41790990312984,317.50043616419725,832.7802227785251
50.0,1.0,0.9,0.8,True,313.47647596065434,163.79721119680286,1.3032973785137385,116.06,2.0,-166.44730217165306,310.818465191835,719.233136430174
50.0,1.0,0.9,1.0,True,280.51327203751146,143.54377403848255,1.2575485996983595,91.84,2.0,-93.9450645915233,274.001843195887,630.4386325765767
50.0,1.0,0.9,1.2,True,237.11381977659465,118.57217400244868,1.1563743427168929,65.02,2.0,-65.13517821931373,234.87882181198185,496.3630446601867
50.0,1.0,0.9,1.4,True,185.9703732624227,78.53884467197192,1.0946223314270735,38.43,1.0,-31.56090173522125,173.78776994514936,368.18092709767484
50.0,1.0,0.9,1.6,True,137.72772361759374,41.19359529208723,0.9158638217927232,16.13,0.0,73.48406474119594,126.3547337925185,269.48398074968134
50.0,1.0,0.9,1.8,True,105.910122686821,13.049485252544155,0.4529008288406432,2.98,0.0,78.533980953922,100.62151418313931,181.90221564759244
50.0,1.0,0.9,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,0.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,0.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,0.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,0.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,0.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,1.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,1.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,1.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,1.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,1.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.2,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,0.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,0.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,0.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,0.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,0.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,1.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,1.2,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,1.4,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,1.6,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,1.8,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.0,1.5,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,0.0,0.0,True,904.6975288270671,470.8516761040521,1.7090255162418482,484.06,4.0,-347.53598027256794,877.8842261147865,2155.3589307132643
50.0,1.5,0.0,0.2,True,904.6975288270671,470.8516761040521,1.7090255162418482,484.06,4.0,-347.53598027256794,877.8842261147865,2155.3589307132643
50.0,1.5,0.0,0.4,True,927.507535568873,469.5900282596688,1.762191455886893,478.83,4.0,-310.3595794634484,917.0842121405058,2117.9682437704732
50.0,1.5,0.0,0.6,True,946.983252339259,444.9700849607432,1.903461111130612,445.45,4.0,-146.46675865728685,925.7374048676124,2005.592602113838
50.0,1.5,0.0,0.8,True,895.5240800953354,397.84967059367744,1.9995594791073776,382.35,3.0,-129.44744676279242,868.8215968904344,1933.5913250189396
50.0,1.5,0.0,1.0,True,770.504215682453,333.3199609856094,2.011593346224474,301.6,2.0,-115.41131130449685,729.258045097092,1692.7743205528564
50.0,1.5,0.0,1.2,True,598.2140334438468,253.97984829283195,1.9616282031534227,213.16,2.0,-61.7089007665636,554.860603074479,1241.2521860682118
50.0,1.5,0.0,1.4,True,405.72479152781614,172.0731952895888,1.7767136305762194,126.12,0.0,28.209377137402043,396.9572109823399,890.4302972961377
50.0,1.5,0.0,1.6,True,241.1872215556707,104.58297637363317,1.3500019453573897,55.26,0.0,47.99510769512926,226.26138879399122,626.2974822195965
50.0,1.5,0.0,1.8,True,127.88755543195293,39.72002614101413,0.7021031489996121,10.03,0.0,66.96357635338615,116.69449894977153,320.0809982692929
50.0,1.5,0.0,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,0.3,0.0,True,904.6975288270671,470.8516761040521,1.7090255162418482,484.06,4.0,-347.53598027256794,877.8842261147865,2155.3589307132643
50.0,1.5,0.3,0.2,True,904.6975288270671,470.8516761040521,1.7090255162418482,484.06,4.0,-347.53598027256794,877.8842261147865,2155.3589307132643
50.0,1.5,0.3,0.4,True,927.507535568873,469.5900282596688,1.762191455886893,478.83,4.0,-310.3595794634484,917.0842121405058,2117.9682437704732
50.0,1.5,0.3,0.6,True,946.983252339259,444.9700849607432,1.903461111130612,445.45,4.0,-146.46675865728685,925.7374048676124,2005.592602113838
50.0,1.5,0.3,0.8,True,895.5240800953354,397.84967059367744,1.9995594791073776,382.35,3.0,-129.44744676279242,868.8215968904344,1933.5913250189396
50.0,1.5,0.3,1.0,True,770.504215682453,333.3199609856094,2.011593346224474,301.6,2.0,-115.41131130449685,729.258045097092,1692.7743205528564
50.0,1.5,0.3,1.2,True,598.2140334438468,253.97984829283195,1.9616282031534227,213.16,2.0,-61.7089007665636,554.860603074479,1241.2521860682118
